SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_ZONA,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
MG,46914,JABOTICATUBAS,143,2,15064,15053,JABOTICATUBAS,Presidente,11666,11666,0.774995017604464,JABOTICATUBAS,0.0388343069569835,0.57932819968136
MT,90883,NOVA UBIRATÃ,43,2,7681,7668,NOVA UBIRATÃ,Presidente,5563,5563,0.725482524778299,NOVA UBIRATÃ,0.0571540164041141,0.512693659679729
AM,2372,SANTA ISABEL DO RIO NEGRO,30,2,8946,8917,SANTA ISABEL DO RIO NEGRO,Presidente,5008,5008,0.561623864528429,SANTA ISABEL DO RIO NEGRO,0.0481779566286609,0.495640509725017
MG,40851,AREADO,19,1,11782,11760,AREADO,Presidente,8745,8745,0.743622448979592,AREADO,0.0713800712951961,0.512306908843999
RN,16896,IELMO MARINHO,46,2,10951,10965,IELMO MARINHO,Presidente,8701,8701,0.793524851801186,IELMO MARINHO,0.0247465984841567,0.648159985389462
MG,50318,PLANURA,116,1,8315,8307,PLANURA,Presidente,5909,5909,0.711327795834838,PLANURA,0.0354780517137703,0.536981358989778
SP,63517,COROADOS,25,2,4183,4179,COROADOS,Presidente,3252,3252,0.778176597272075,COROADOS,0.105665790102797,0.443222567535262
BA,33359,ANTÔNIO GONÇALVES,53,2,8833,8815,ANTÔNIO GONÇALVES,Presidente,6485,6485,0.735677821894498,ANTÔNIO GONÇALVES,0.0502660477753878,0.556096456470056
SC,81469,BOM JESUS DO OESTE,83,1,1889,1888,BOM JESUS DO OESTE,Presidente,1588,1588,0.841101694915254,BOM JESUS DO OESTE,0.111699311805188,0.535203811540498
TO,94170,ITAPORÃ DO TOCANTINS,16,1,2340,2337,ITAPORÃ DO TOCANTINS,Presidente,1943,1943,0.831407787762088,ITAPORÃ DO TOCANTINS,0.0512820512820513,0.496581196581197
BA,30970,HELIÓPOLIS,110,2,11875,11823,HELIÓPOLIS,Presidente,9084,9084,0.768332910428825,HELIÓPOLIS,0.0384,0.647578947368421
BA,37230,MEDEIROS NETO,153,1,19414,19375,MEDEIROS NETO,Presidente,13845,13845,0.71458064516129,MEDEIROS NETO,0.0572782528072525,0.582517770680952
MG,42994,CASCALHO RICO,110,1,3522,3517,CASCALHO RICO,Presidente,2596,2596,0.738129087290304,CASCALHO RICO,0.0434412265758092,0.53946621237933
MG,40894,ARINOS,320,2,13886,13845,ARINOS,Presidente,9667,9667,0.698230408089563,ARINOS,0.0531470545873542,0.510082097076192
PI,12068,SEBASTIÃO LEAL,67,2,3890,3885,SEBASTIÃO LEAL,Presidente,3328,3328,0.856628056628057,SEBASTIÃO LEAL,0.0562982005141388,0.628020565552699
BA,38571,SANTA CRUZ DA VITÓRIA,29,2,5040,5040,SANTA CRUZ DA VITÓRIA,Presidente,3123,3123,0.619642857142857,SANTA CRUZ DA VITÓRIA,0.048015873015873,0.613888888888889
PA,5479,SÃO FRANCISCO DO PARÁ,5,1,15342,15326,SÃO FRANCISCO DO PARÁ,Presidente,12293,12293,0.802101004828396,SÃO FRANCISCO DO PARÁ,0.0443879546343371,0.540672663277278
PE,24295,IATI,136,1,15936,15924,IATI,Presidente,10415,10415,0.654044209997488,IATI,0.00997740963855422,0.789031124497992
RN,16268,RIO DO FOGO,64,2,9816,9817,RIO DO FOGO,Presidente,7673,7673,0.781603341142915,RIO DO FOGO,0.0440097799511002,0.538304808475958
BA,39055,SERRA DOURADA,190,1,15365,15290,SERRA DOURADA,Presidente,10802,10802,0.706474820143885,SERRA DOURADA,0.0378132118451025,0.560299381711682
PI,10600,BARRA D'ALCÂNTARA,48,2,3403,3392,BARRA D ALCÂNTARA,Presidente,2553,2553,0.752653301886793,BARRA D'ALCÂNTARA,0.0564208051719071,0.619159565089627
AM,2992,CAAPIRANGA,6,1,9630,9622,CAAPIRANGA,Presidente,7036,7036,0.731240906256496,CAAPIRANGA,0.0423676012461059,0.497819314641745
SE,31291,CARMÓPOLIS,14,2,13052,13016,CARMÓPOLIS,Presidente,9251,9251,0.710740626920713,CARMÓPOLIS,0.0363162733680662,0.505209929512718
SP,68152,PARAÍSO,171,2,4504,4507,PARAÍSO,Presidente,3578,3578,0.793876192589306,PARAÍSO,0.146314387211368,0.41607460035524
RS,85472,BOM RETIRO DO SUL,21,1,9790,9782,BOM RETIRO DO SUL,Presidente,7942,7942,0.811899407074218,BOM RETIRO DO SUL,0.061899897854954,0.527987742594484
MA,7064,APICUM-AÇU,107,1,13711,13676,APICUM-AÇU,Presidente,10089,10089,0.737715706346885,APICUM-AÇU,0.0317263511049522,0.599372766391948
MG,50172,PIRANGUÇU,51,2,4648,4649,PIRANGUÇU,Presidente,3650,3650,0.785115078511508,PIRANGUÇU,0.0503442340791738,0.564543889845095
SE,31453,FREI PAULO,24,2,13144,13137,FREI PAULO,Presidente,10167,10167,0.773920986526604,FREI PAULO,0.0298995739500913,0.663344491783323
SP,66052,JARINU,16,2,26423,26387,JARINU,Presidente,19012,19012,0.720506309925342,JARINU,0.0989668092192408,0.39870567308784
MG,40681,SANTANA DO PARAÍSO,130,1,23806,23775,SANTANA DO PARAÍSO,Presidente,17361,17361,0.730220820189275,SANTANA DO PARAÍSO,0.0575905233974628,0.457405696043014
PE,23043,SANTA CRUZ DA BAIXA VERDE,71,2,9157,9131,SANTA CRUZ DA BAIXA VERDE,Presidente,7219,7219,0.790603438834739,SANTA CRUZ DA BAIXA VERDE,0.0517636780605002,0.552364311455717
TO,95290,COLMÉIA,16,1,6402,6382,COLMÉIA,Presidente,5006,5006,0.784393607019743,COLMÉIA,0.0812246173070915,0.480943455170259
GO,93491,EDÉIA,68,1,9629,9617,EDÉIA,Presidente,7243,7243,0.753145471560778,EDÉIA,0.111018797382906,0.415307923979645
GO,93190,CORUMBAÍBA,5,1,6835,6840,CORUMBAÍBA,Presidente,5117,5117,0.748099415204678,CORUMBAÍBA,0.107242136064375,0.436576444769568
MT,90832,GUIRATINGA,2,1,8399,8377,GUIRATINGA,Presidente,6254,6254,0.746567983765071,GUIRATINGA,0.118704607691392,0.480533396832956
MG,42935,CARVALHÓPOLIS,164,2,3267,3255,CARVALHÓPOLIS,Presidente,2619,2619,0.804608294930876,CARVALHÓPOLIS,0.11386593204775,0.473829201101928
CE,14257,ITAIÇABA,75,2,6841,6839,ITAIÇABA,Presidente,5648,5648,0.825851732709461,ITAIÇABA,0.0912147346879111,0.481508551381377
BA,39870,SANTA LUZIA,133,2,9949,9930,SANTA LUZIA,Presidente,5905,5905,0.594662638469285,SANTA LUZIA,0.0361845411599156,0.716453914966328
RO,310,ALTA FLORESTA D'OESTE,17,1,19396,19397,ALTA FLORESTA D OESTE,Presidente,13718,13718,0.707222766407177,ALTA FLORESTA D'OESTE,0.0892967622190142,0.558878119199835
BA,39195,TANHAÇU,58,2,17884,17847,TANHAÇU,Presidente,14059,14059,0.787751442819522,TANHAÇU,0.0377991500782823,0.625922612390964
SP,68098,PANORAMA,175,1,10791,10774,PANORAMA,Presidente,7912,7912,0.734360497493967,PANORAMA,0.0962839403206376,0.452784728014086
MG,48151,MATIAS BARBOSA,173,2,11989,11981,MATIAS BARBOSA,Presidente,9463,9463,0.789833903680828,MATIAS BARBOSA,0.0698974059554592,0.482775877888064
PI,12173,SOCORRO DO PIAUÍ,37,1,4204,4173,SOCORRO DO PIAUÍ,Presidente,3236,3236,0.775461298825785,SOCORRO DO PIAUÍ,0.0794481446241675,0.562083729781161
PA,4545,TERRA ALTA,32,2,10800,10791,TERRA ALTA,Presidente,8104,8104,0.750996200537485,TERRA ALTA,0.0258333333333333,0.516851851851852
SP,70270,SANTA CRUZ DAS PALMEIRAS,39,1,21257,21218,SANTA CRUZ DAS PALMEIRAS,Presidente,15883,15883,0.748562541238571,SANTA CRUZ DAS PALMEIRAS,0.114832760972856,0.439619889918615
GO,92754,BRITÂNIA,95,1,4762,4752,BRITÂNIA,Presidente,3595,3595,0.756523569023569,BRITÂNIA,0.0755984880302394,0.49055018899622
MG,50970,RIO CASCA,234,2,11132,11103,RIO CASCA,Presidente,7770,7770,0.699810861929208,RIO CASCA,0.0530901904419691,0.539256198347108
PB,19720,PARARI,58,1,2163,2149,PARARI,Presidente,1718,1718,0.799441600744532,PARARI,0.0517799352750809,0.616736014794267
MA,8206,SANTA FILOMENA DO MARANHÃO,79,2,5701,5692,SANTA FILOMENA DO MARANHÃO,Presidente,4532,4532,0.796205200281096,SANTA FILOMENA DO MARANHÃO,0.0298193299421154,0.615856867216278
RJ,58386,MACUCO,52,2,7153,7135,MACUCO,Presidente,5570,5570,0.780658724597057,MACUCO,0.0717181602124983,0.425695512372431
RJ,58890,RIO DAS FLORES,111,1,8612,8587,RIO DAS FLORES,Presidente,6390,6390,0.74414813089554,RIO DAS FLORES,0.0711797491871807,0.506502554575012
PR,84514,CANTAGALO,203,1,9192,9167,CANTAGALO,Presidente,6850,6850,0.747245554707102,CANTAGALO,0.0697345517841602,0.56233681462141
CE,14834,MULUNGU,5,1,8672,8671,MULUNGU,Presidente,6986,6986,0.805674086033906,MULUNGU,0.0469326568265683,0.507841328413284
AL,27910,MARAVILHA,50,2,8135,8130,MARAVILHA,Presidente,5448,5448,0.670110701107011,MARAVILHA,0.024339274738783,0.659496004917025
SC,81159,GARUVA,105,2,11754,11746,GARUVA,Presidente,9578,9578,0.815426528179806,GARUVA,0.0764846009868981,0.421303386081334
MA,8486,SENADOR ALEXANDRE COSTA,6,1,8618,8576,SENADOR ALEXANDRE COSTA,Presidente,5851,5851,0.682252798507463,SENADOR ALEXANDRE COSTA,0.0384079832907867,0.613483406822929
CE,15938,ICAPUÍ,8,2,16509,16498,ICAPUÍ,Presidente,13726,13726,0.831979633895018,ICAPUÍ,0.0669331879580835,0.535768368768551
BA,33510,BAIXA GRANDE,86,1,16187,16131,BAIXA GRANDE,Presidente,10725,10725,0.664868885995909,BAIXA GRANDE,0.046271699511954,0.604250324334342
PB,19739,CAIÇARA,14,2,6253,6230,CAIÇARA,Presidente,4538,4538,0.728410914927769,CAIÇARA,0.0422197345274268,0.596193826963058
PR,78298,RONDON,100,2,7425,7421,RONDON,Presidente,5790,5790,0.780218299420563,RONDON,0.0895622895622896,0.477306397306397
MA,7773,ESPERANTINÓPOLIS,61,2,14206,14161,ESPERANTINÓPOLIS,Presidente,10722,10722,0.757149918791046,ESPERANTINÓPOLIS,0.0489933830775729,0.558144446008729
GO,93580,CAMPO LIMPO DE GOIÁS,144,1,6124,6123,CAMPO LIMPO DE GOIÁS,Presidente,4674,4674,0.763351298383146,CAMPO LIMPO DE GOIÁS,0.0517635532331809,0.540659699542783
SC,81558,IRINEÓPOLIS,25,1,8029,8020,IRINEÓPOLIS,Presidente,6386,6386,0.796259351620948,IRINEÓPOLIS,0.0623988043342882,0.569684892265537
PB,19186,SERTÃOZINHO,47,2,4350,4338,SERTÃOZINHO,Presidente,3352,3352,0.772706316274781,SERTÃOZINHO,0.0457471264367816,0.55816091954023
RN,17191,JUCURUTU,27,1,15059,15049,JUCURUTU,Presidente,12173,12173,0.808890956209715,JUCURUTU,0.0509994023507537,0.598379706487815
RO,620,CACAULÂNDIA,26,2,3934,3947,CACAULÂNDIA,Presidente,2902,2902,0.735241955915886,CACAULÂNDIA,0.0528723945094052,0.553126588713777
BA,39950,VÁRZEA NOVA,55,2,10799,10791,VÁRZEA NOVA,Presidente,7620,7620,0.706144008896303,VÁRZEA NOVA,0.0386146865450505,0.627095101398278
MT,90344,PLANALTO DA SERRA,34,1,2655,2650,PLANALTO DA SERRA,Presidente,1985,1985,0.749056603773585,PLANALTO DA SERRA,0.0730696798493409,0.508851224105461
BA,33510,BAIXA GRANDE,86,2,16187,16134,BAIXA GRANDE,Presidente,10787,10787,0.668588074872939,BAIXA GRANDE,0.046271699511954,0.604250324334342
MG,50270,PITANGUI,219,1,21212,21172,PITANGUI,Presidente,16670,16670,0.787360665029284,PITANGUI,0.0659532340184801,0.483829907599472
SP,69337,PROMISSÃO,103,1,28493,28436,PROMISSÃO,Presidente,19546,19546,0.687368124912083,PROMISSÃO,0.123925174604289,0.410030533815323
PA,5177,PORTO DE MOZ,82,2,22784,22734,PORTO DE MOZ,Presidente,15877,15877,0.698381279141374,PORTO DE MOZ,0.0405108848314607,0.644838483146067
MG,50377,POCRANE,129,1,7457,7445,POCRANE,Presidente,5371,5371,0.721423774345198,POCRANE,0.0183719994635913,0.654820973581869
MG,49158,ONÇA DE PITANGUI,202,1,3310,3313,ONÇA DE PITANGUI,Presidente,2577,2577,0.777844853607003,ONÇA DE PITANGUI,0.0685800604229607,0.547432024169184
RS,85430,BOA VISTA DO BURICÁ,89,2,5537,5521,BOA VISTA DO BURICÁ,Presidente,4720,4720,0.854917587393588,BOA VISTA DO BURICÁ,0.0973451327433628,0.472277406537836
SC,83534,TANGARÁ,47,2,6601,6590,TANGARÁ,Presidente,5450,5450,0.82701062215478,TANGARÁ,0.107559460687775,0.493713073776701
SE,31038,AQUIDABÃ,3,1,16699,16723,AQUIDABÃ,Presidente,12835,12835,0.767505830293608,AQUIDABÃ,0.0447332175579376,0.610695251212647
PB,19453,BOM JESUS,68,1,3051,3035,BOM JESUS,Presidente,2380,2380,0.784184514003295,BOM JESUS,0.0488364470665356,0.588987217305801
SP,65595,ITAPUÍ,241,1,10193,10185,ITAPUÍ,Presidente,7469,7469,0.733333333333333,ITAPUÍ,0.0908466594721868,0.451388207593447
PE,25852,MOREILÂNDIA,79,2,9658,9645,MOREILÂNDIA,Presidente,7266,7266,0.753343701399689,MOREILÂNDIA,0.040898736798509,0.549596189687306
PR,84697,MISSAL,114,1,9344,9330,MISSAL,Presidente,7545,7545,0.808681672025724,MISSAL,0.108411815068493,0.518407534246575
SP,62570,BRODOWSKI,204,2,18175,18149,BRODOWSKI,Presidente,13710,13710,0.755413521406138,BRODOWSKI,0.136396148555708,0.413975240715268
SP,72354,VERA CRUZ,180,1,7796,7774,VERA CRUZ,Presidente,6009,6009,0.772961152559815,VERA CRUZ,0.150718317085685,0.330810672139559
SP,70831,SÃO JOÃO DA BOA VISTA,122,1,71550,71386,SÃO JOÃO DA BOA VISTA,Presidente,51637,51637,0.72334911607318,SÃO JOÃO DA BOA VISTA,0.192578616352201,0.347519217330538
TO,96636,NOVA OLINDA,31,1,7822,7821,NOVA OLINDA,Presidente,6192,6192,0.791714614499425,NOVA OLINDA,0.0669905395039632,0.472385579135771
GO,93254,CRISTALINA,36,2,35530,35470,CRISTALINA,Presidente,26561,26561,0.748829997180716,CRISTALINA,0.105629045876724,0.436645088657473
AP,6033,CALÇOENE,1,2,8294,8266,CALÇOENE,Presidente,5186,5186,0.62738930558916,CALÇOENE,0.0493127562093079,0.510971786833856
MG,46396,ITACAMBIRA,184,1,4600,4578,ITACAMBIRA,Presidente,3389,3389,0.740279598077763,ITACAMBIRA,0.0932608695652174,0.491086956521739
RS,86126,POÇO DAS ANTAS,125,1,2001,1996,POÇO DAS ANTAS,Presidente,1638,1638,0.82064128256513,POÇO DAS ANTAS,0.0679660169915043,0.516741629185407
MG,53392,SERRANOS,346,2,2091,2085,SERRANOS,Presidente,1586,1586,0.760671462829736,SERRANOS,0.0889526542324247,0.610712577714013
RS,87351,MACHADINHO,103,1,4680,4671,MACHADINHO,Presidente,3829,3829,0.819738813958467,MACHADINHO,0.0814102564102564,0.555555555555556
MG,40185,ENTRE FOLHAS,72,1,5877,5856,ENTRE FOLHAS,Presidente,4227,4227,0.721823770491803,ENTRE FOLHAS,0.0624468266122171,0.609154330440701
MA,8990,SANTA QUITÉRIA DO MARANHÃO,24,1,22337,22304,SANTA QUITÉRIA DO MARANHÃO,Presidente,15173,15173,0.68028156384505,SANTA QUITÉRIA DO MARANHÃO,0.0391726731432153,0.594976944083807
SP,69230,PRESIDENTE ALVES,95,1,3458,3451,PRESIDENTE ALVES,Presidente,2571,2571,0.745001448855404,PRESIDENTE ALVES,0.0855986119144014,0.419895893580104
SC,80799,CAXAMBU DO SUL,70,2,4370,4364,CAXAMBU DO SUL,Presidente,3684,3684,0.844179651695692,CAXAMBU DO SUL,0.0897025171624714,0.545537757437071
SP,61719,AREIÓPOLIS,129,1,8565,8556,AREIÓPOLIS,Presidente,6328,6328,0.739597942964002,AREIÓPOLIS,0.0643315820198482,0.46584938704028
RS,86126,POÇO DAS ANTAS,125,2,2001,1996,POÇO DAS ANTAS,Presidente,1627,1627,0.815130260521042,POÇO DAS ANTAS,0.0679660169915043,0.516741629185407
PR,75485,MARQUINHO,134,2,3727,3728,MARQUINHO,Presidente,2989,2989,0.801770386266094,MARQUINHO,0.0528575261604508,0.60692245774081
RJ,58408,ARMAÇÃO DOS BÚZIOS,172,1,32891,32760,ARMAÇÃO DOS BÚZIOS,Presidente,24457,24457,0.746550671550672,ARMAÇÃO DOS BÚZIOS,0.0991760664011432,0.374844182299109
PR,78794,SÃO JORGE DO IVAÍ,102,2,4797,4792,SÃO JORGE DO IVAÍ,Presidente,3817,3817,0.796535893155259,SÃO JORGE DO IVAÍ,0.124452782989368,0.431311236189285
MA,8273,MATA ROMA,42,1,14674,14640,MATA ROMA,Presidente,11792,11792,0.805464480874317,MATA ROMA,0.0393893962109854,0.522079869156331
MG,48658,MONTES CLAROS,317,2,117178,117281,MONTES CLAROS,Presidente,93172,93172,0.794433881020796,MONTES CLAROS,0.120585775486866,0.343503046646982
SP,62383,OUROESTE,302,1,7527,7498,OUROESTE,Presidente,5670,5670,0.75620165377434,OUROESTE,0.17457154244719,0.365617111731101
MG,47635,LAVRAS,160,2,74825,74529,LAVRAS,Presidente,56860,56860,0.762924499188236,LAVRAS,0.0963047109923154,0.40327430671567
MT,98957,TERRA NOVA DO NORTE,33,2,8656,8645,TERRA NOVA DO NORTE,Presidente,6357,6357,0.735338345864662,TERRA NOVA DO NORTE,0.0321164510166359,0.585836414048059
MG,41351,BIAS FORTES,24,2,3759,3749,BIAS FORTES,Presidente,2768,2768,0.738330221392371,BIAS FORTES,0.022878425113062,0.614525139664805
PI,10359,BOCAINA,28,2,5221,5160,BOCAINA,Presidente,4249,4249,0.823449612403101,BOCAINA,0.113962842367363,0.511970886803294
MG,48194,MATO VERDE,180,1,10642,10619,MATO VERDE,Presidente,8209,8209,0.773048309633675,MATO VERDE,0.0385265927457245,0.576865250892689
MG,50393,POMPÉU,223,1,24246,24181,POMPÉU,Presidente,17376,17376,0.718580703858401,POMPÉU,0.0531634083972614,0.539470428111854
ES,56022,ÁGUA DOCE DO NORTE,23,2,10652,10630,ÁGUA DOCE DO NORTE,Presidente,7525,7525,0.707902163687676,ÁGUA DOCE DO NORTE,0.0530416823131806,0.572850168982351
CE,14451,JATI,70,1,6814,6795,JATI,Presidente,5177,5177,0.761883738042678,JATI,0.0680950983269739,0.457880833577928
PR,74993,CENTENÁRIO DO SUL,159,2,8635,8624,CENTENÁRIO DO SUL,Presidente,6694,6694,0.776205936920223,CENTENÁRIO DO SUL,0.0767805442964679,0.517313259988419
MA,8257,MAGALHÃES DE ALMEIDA,51,1,13667,13649,MAGALHÃES DE ALMEIDA,Presidente,9219,9219,0.675434097736098,MAGALHÃES DE ALMEIDA,0.0423648203702349,0.584327211531426
MA,8087,PERITORÓ,68,2,15900,15882,PERITORÓ,Presidente,12117,12117,0.762939176426143,PERITORÓ,0.0287421383647799,0.581132075471698
SP,66133,JOÃO RAMALHO,106,1,3432,3437,JOÃO RAMALHO,Presidente,2579,2579,0.750363689263893,JOÃO RAMALHO,0.0693473193473194,0.420454545454546
SP,66214,JUNQUEIRÓPOLIS,196,1,13922,13887,JUNQUEIRÓPOLIS,Presidente,10232,10232,0.736804205371931,JUNQUEIRÓPOLIS,0.151486855336877,0.352822870277259
PB,21636,SALGADO DE SÃO FÉLIX,6,2,9680,9673,SALGADO DE SÃO FÉLIX,Presidente,7250,7250,0.749508942417037,SALGADO DE SÃO FÉLIX,0.0425619834710744,0.643904958677686
SP,67059,MIRANTE DO PARANAPANEMA,165,2,13268,13226,MIRANTE DO PARANAPANEMA,Presidente,9742,9742,0.736579464690761,MIRANTE DO PARANAPANEMA,0.0951914380464275,0.414606572203799
PI,11258,MIGUEL LEÃO,58,2,1601,1604,MIGUEL LEÃO,Presidente,1234,1234,0.769326683291771,MIGUEL LEÃO,0.0905683947532792,0.475952529668957
PB,22250,SOUSA,35,1,46662,46489,SOUSA,Presidente,37735,37735,0.811697390780615,SOUSA,0.0797436886545798,0.520616347349021
BA,36234,ITAPARICA,141,1,18363,18318,ITAPARICA,Presidente,14104,14104,0.769953051643193,ITAPARICA,0.0544573326798454,0.410662745738714
SP,68411,PEDREGULHO,155,1,11874,11865,PEDREGULHO,Presidente,9137,9137,0.7700800674252,PEDREGULHO,0.115125484251305,0.427572848239852
MG,42013,CAIANA,303,2,4142,4140,CAIANA,Presidente,3257,3257,0.786714975845411,CAIANA,0.051907291163689,0.600434572670208
SP,69531,REGISTRO,172,2,48236,48244,REGISTRO,Presidente,33472,33472,0.693806483707819,REGISTRO,0.134940708184758,0.354320424579153
SP,67598,NOVA EUROPA,13,2,7786,7777,NOVA EUROPA,Presidente,5752,5752,0.73961681882474,NOVA EUROPA,0.0935011559208836,0.42820446956075
CE,14060,IBARETAMA,6,1,12129,12123,IBARETAMA,Presidente,10071,10071,0.830734966592428,IBARETAMA,0.0408112787534009,0.586115920521065
BA,36765,LAGOA REAL,63,1,10645,10632,LAGOA REAL,Presidente,7924,7924,0.745297215951844,LAGOA REAL,0.0316580554250822,0.689431658055425
MA,8281,SÃO FRANCISCO DO BREJÃO,98,2,8045,8035,SÃO FRANCISCO DO BREJÃO,Presidente,5915,5915,0.736154324828874,SÃO FRANCISCO DO BREJÃO,0.0366687383467993,0.602237414543195
RS,87475,MIRAGUAÍ,101,2,4199,4193,MIRAGUAÍ,Presidente,3412,3412,0.813737181015979,MIRAGUAÍ,0.065015479876161,0.548702071921886
RS,86541,CENTENÁRIO,3,2,2603,2601,CENTENÁRIO,Presidente,2291,2291,0.88081507112649,CENTENÁRIO,0.0434114483288513,0.610449481367653
RS,86185,MORRO REDONDO,164,2,5291,5276,MORRO REDONDO,Presidente,4047,4047,0.767058377558757,MORRO REDONDO,0.0842940842940843,0.59024759024759
BA,34177,CAMPO ALEGRE DE LOURDES,67,1,25262,25180,CAMPO ALEGRE DE LOURDES,Presidente,17262,17262,0.685544082605242,CAMPO ALEGRE DE LOURDES,0.0328556725516586,0.683437574222152
MG,44253,DESCOBERTO,258,1,4468,4463,DESCOBERTO,Presidente,3411,3411,0.764284113824782,DESCOBERTO,0.0349149507609669,0.598254252461952
ES,56502,IBITIRAMA,18,2,6965,6965,IBITIRAMA,Presidente,5511,5511,0.791241923905241,IBITIRAMA,0.0578607322325915,0.61335247666906
MA,7943,MATÕES DO NORTE,84,1,6373,6362,MATÕES DO NORTE,Presidente,4900,4900,0.770198050927381,MATÕES DO NORTE,0.0489565353836498,0.561274125215754
MG,51934,SANTA ROSA DA SERRA,327,2,3295,3289,SANTA ROSA DA SERRA,Presidente,2378,2378,0.723016114320462,SANTA ROSA DA SERRA,0.0406676783004552,0.581183611532625
PE,25550,SANTA TEREZINHA,99,1,8010,7987,SANTA TEREZINHA,Presidente,6072,6072,0.760235382496557,SANTA TEREZINHA,0.049063670411985,0.577528089887641
SP,67997,PACAEMBU,196,1,8643,8617,PACAEMBU,Presidente,5931,5931,0.688290588371823,PACAEMBU,0.12703922249219,0.438273747541363
PA,5517,SÃO MIGUEL DO GUAMÁ,11,1,41751,41704,SÃO MIGUEL DO GUAMÁ,Presidente,32486,32486,0.778966046422406,SÃO MIGUEL DO GUAMÁ,0.0537472156355536,0.58810567411559
RN,17710,PARANÁ,42,2,4106,4072,PARANÁ,Presidente,3086,3086,0.757858546168959,PARANÁ,0.0414028251339503,0.599366780321481
BA,39454,UBATÃ,134,2,12003,11939,UBATÃ,Presidente,8741,8741,0.732138370047743,UBATÃ,0.0661501291343831,0.51137215696076
BA,34916,CRISÓPOLIS,81,2,17827,17793,CRISÓPOLIS,Presidente,12062,12062,0.677907042095206,CRISÓPOLIS,0.0287765748583609,0.685589274695686
BA,34614,COCOS,61,2,15759,15710,COCOS,Presidente,11694,11694,0.744366645448759,COCOS,0.0272859953042706,0.622501427755568
SE,31291,CARMÓPOLIS,14,1,13052,13015,CARMÓPOLIS,Presidente,9338,9338,0.717479830964272,CARMÓPOLIS,0.0363162733680662,0.505209929512718
PR,84530,TURVO,44,2,11605,11606,TURVO,Presidente,9233,9233,0.795536791314837,TURVO,0.0557518311072813,0.545971563981043
CE,13269,POTIRETAMA,86,1,5771,5750,POTIRETAMA,Presidente,4785,4785,0.832173913043478,POTIRETAMA,0.0552763819095477,0.583261133252469
PB,19950,CONGO,43,2,5101,5082,CONGO,Presidente,4107,4107,0.80814639905549,CONGO,0.0390119584395217,0.625171534993139
MT,98655,CAMPINÁPOLIS,26,1,10214,10212,CAMPINÁPOLIS,Presidente,7245,7245,0.70945945945946,CAMPINÁPOLIS,0.0211474446837674,0.727922459369493
ES,56430,FUNDÃO,14,1,14217,14178,FUNDÃO,Presidente,10687,10687,0.753773451826774,FUNDÃO,0.0509249490047127,0.506435956952944
MG,46590,ITAMONTE,306,1,11959,11925,ITAMONTE,Presidente,8985,8985,0.753459119496855,ITAMONTE,0.0658081779412994,0.524207709674722
PI,11738,REDENÇÃO DO GURGUÉIA,15,2,6623,6584,REDENÇÃO DO GURGUÉIA,Presidente,4933,4933,0.749240583232078,REDENÇÃO DO GURGUÉIA,0.0682470179676884,0.585535255926317
SP,72079,TURMALINA,233,1,1872,1868,TURMALINA,Presidente,1361,1361,0.728586723768737,TURMALINA,0.177350427350427,0.449252136752137
BA,33979,CACHOEIRA,118,2,26406,26357,CACHOEIRA,Presidente,19329,19329,0.733353568312023,CACHOEIRA,0.0600621070968719,0.499242596379611
SP,61824,PARISI,147,1,2735,2728,PARISI,Presidente,2065,2065,0.756964809384164,PARISI,0.0760511882998172,0.481535648994516
RS,87696,NOVA PRATA,75,1,18469,18436,NOVA PRATA,Presidente,15405,15405,0.835593404209156,NOVA PRATA,0.157940332448969,0.378472034219503
RS,85529,SEGREDO,53,1,5559,5553,SEGREDO,Presidente,4436,4436,0.798847469836125,SEGREDO,0.0516279906457996,0.663248785752833
GO,94218,ITARUMÃ,106,1,4385,4378,ITARUMÃ,Presidente,3265,3265,0.745774326176336,ITARUMÃ,0.0877993158494869,0.557354618015964
MG,41181,NOVORIZONTE,244,1,4776,4762,NOVORIZONTE,Presidente,3207,3207,0.673456530869383,NOVORIZONTE,0.0370603015075377,0.592964824120603
MG,45594,GUANHÃES,121,1,25164,25099,GUANHÃES,Presidente,16261,16261,0.647874417307462,GUANHÃES,0.0595692258782388,0.518796693689398
CE,13307,OCARA,67,1,23179,23161,OCARA,Presidente,19512,19512,0.842450671387246,OCARA,0.0382673972129945,0.543681780922387
SP,68691,PIQUEROBI,117,1,2968,2966,PIQUEROBI,Presidente,2288,2288,0.771409305461902,PIQUEROBI,0.0889487870619946,0.45822102425876
PA,5797,SÃO GERALDO DO ARAGUAIA,62,2,21411,21385,SÃO GERALDO DO ARAGUAIA,Presidente,14368,14368,0.671872808043021,SÃO GERALDO DO ARAGUAIA,0.0458175704077343,0.619728177105226
PR,74373,ASSAÍ,35,1,12519,12511,ASSAÍ,Presidente,9376,9376,0.749420509951243,ASSAÍ,0.134355779215592,0.391325185717709
SC,82899,RIO DOS CEDROS,55,1,8800,8797,RIO DOS CEDROS,Presidente,6988,6988,0.794361714220757,RIO DOS CEDROS,0.0889772727272727,0.505909090909091
