SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_ZONA,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
RJ,60011,RIO DE JANEIRO,219,2,107043,106888,RIO DE JANEIRO,Presidente,77362,77362,0.723766933612754,RIO DE JANEIRO,0.0370598731350952,0.413861719122222
BA,36773,LAJE,109,1,20497,20479,LAJE,Presidente,14925,14925,0.728795351335514,LAJE,0.0348831536322389,0.605893545396887
PA,4014,ABAETETUBA,7,2,119594,119651,ABAETETUBA,Presidente,97431,97431,0.814293236161837,ABAETETUBA,0.0637573791327324,0.465625365821028
PE,23671,CALUMBI,108,2,6598,6578,CALUMBI,Presidente,5039,5039,0.76603830951657,CALUMBI,0.0369809033040315,0.625189451348894
MG,53430,SETE LAGOAS,322,2,53206,53278,SETE LAGOAS,Presidente,41391,41391,0.776887270543189,SETE LAGOAS,0.16030146975905,0.341408863661993
RS,88153,RIO GRANDE,37,1,72221,72532,RIO GRANDE,Presidente,51482,51482,0.709783268074781,RIO GRANDE,0.125794436521233,0.382769554561693
SP,62219,BEBEDOURO,24,2,60070,59974,BEBEDOURO,Presidente,43436,43436,0.724247173775303,BEBEDOURO,0.171316797070085,0.360978857999001
SP,64777,GUARULHOS,394,2,162192,162231,GUARULHOS,Presidente,125765,125765,0.775221751699737,GUARULHOS,0.0616799842162376,0.299564713426063
MG,54038,UBERLÂNDIA,279,1,135695,136800,UBERLÂNDIA,Presidente,106834,106834,0.780950292397661,UBERLÂNDIA,0.245079037547441,0.250178709606102
CE,13110,ALTANEIRA,53,2,6249,6222,ALTANEIRA,Presidente,4990,4990,0.801992928318868,ALTANEIRA,0.043686989918387,0.545367258761402
CE,14133,INDEPENDÊNCIA,39,1,21885,21793,INDEPENDÊNCIA,Presidente,16143,16143,0.740742440233102,INDEPENDÊNCIA,0.0524103267077907,0.5653644048435
RJ,59013,SÃO JOÃO DE MERITI,88,1,73500,73383,SÃO JOÃO DE MERITI,Presidente,54745,54745,0.746017469986237,SÃO JOÃO DE MERITI,0.0345578231292517,0.44247619047619
BA,33138,ALAGOINHAS,163,2,111809,112023,ALAGOINHAS,Presidente,85224,85224,0.760772341394178,ALAGOINHAS,0.0778917618438587,0.363968911268324
SP,64777,GUARULHOS,185,1,151561,151479,GUARULHOS,Presidente,117353,117353,0.774714646914754,GUARULHOS,0.0658282803623624,0.302360105831975
SP,65897,JACAREÍ,396,2,92503,92498,JACAREÍ,Presidente,69593,69593,0.752373024281606,JACAREÍ,0.165237884176729,0.26021858750527
MG,50270,PITANGUI,219,2,21212,21172,PITANGUI,Presidente,16915,16915,0.798932552427735,PITANGUI,0.0659532340184801,0.483829907599472
SP,69493,REGENTE FEIJÓ,167,1,15278,15241,REGENTE FEIJÓ,Presidente,11906,11906,0.781182337116987,REGENTE FEIJÓ,0.146616049221102,0.353187589998691
ES,56790,PANCAS,36,2,16165,16134,PANCAS,Presidente,10861,10861,0.673174662204041,PANCAS,0.0352613671512527,0.598515310856789
GO,95974,SÃO JOÃO D'ALIANÇA,143,2,7040,7035,SÃO JOÃO D ALIANÇA,Presidente,5305,5305,0.75408670931059,SÃO JOÃO D'ALIANÇA,0.0724431818181818,0.464488636363636
BA,38490,SALVADOR,17,1,105099,105089,SALVADOR,Presidente,77853,77853,0.740829201914568,SALVADOR,0.051123226671995,0.345664563887382
CE,13676,CARNAUBAL,22,2,13876,13853,CARNAUBAL,Presidente,10380,10380,0.749296181332563,CARNAUBAL,0.0480686076679158,0.552104352839435
SP,71072,SÃO PAULO,259,1,156075,156503,SÃO PAULO,Presidente,117843,117843,0.752975981291093,SÃO PAULO,0.432843184366491,0.135825724811789
MG,49395,PARACATU,203,1,66737,66565,PARACATU,Presidente,48794,48794,0.733027867497934,PARACATU,0.0709201792109325,0.421879916687894
MG,48771,MURIAÉ,187,1,78413,78180,MURIAÉ,Presidente,59782,59782,0.764671271424917,MURIAÉ,0.0609975386734343,0.497187966281101
SP,66710,MAIRIPORÃ,237,2,65866,65766,MAIRIPORÃ,Presidente,48702,48702,0.740534622753398,MAIRIPORÃ,0.143078371238575,0.329350499498983
MG,42773,CARMO DA CACHOEIRA,281,1,9608,9591,CARMO DA CACHOEIRA,Presidente,6834,6834,0.712543009071004,CARMO DA CACHOEIRA,0.0454829308909242,0.620836802664446
SP,64254,FRANCA,291,2,125181,125450,FRANCA,Presidente,94331,94331,0.75194101235552,FRANCA,0.0860913397400564,0.380608878344158
RJ,60011,RIO DE JANEIRO,185,1,110111,109945,RIO DE JANEIRO,Presidente,80522,80522,0.732384374005184,RIO DE JANEIRO,0.124310922614453,0.266149612663585
RJ,58696,NOVA IGUAÇU,159,2,77778,77711,NOVA IGUAÇU,Presidente,59177,59177,0.761500945812047,NOVA IGUAÇU,0.0242485021471367,0.495500012857106
SP,71072,SÃO PAULO,253,1,224044,223792,SÃO PAULO,Presidente,167387,167387,0.747957925216272,SÃO PAULO,0.233351484529825,0.235047579939655
AP,6092,OIAPOQUE,4,2,21266,21209,OIAPOQUE,Presidente,12594,12594,0.593804516950351,OIAPOQUE,0.0404401391893163,0.538653249318161
PI,12688,CAXINGÓ,33,2,5455,5445,CAXINGÓ,Presidente,4269,4269,0.784022038567493,CAXINGÓ,0.0340971585701192,0.706507791017415
AM,2216,CARAUARI,21,1,21605,21551,CARAUARI,Presidente,13768,13768,0.638856665583964,CARAUARI,0.0397593149733858,0.533996760009257
GO,94455,LUZIÂNIA,19,1,125775,126135,LUZIÂNIA,Presidente,96116,96116,0.762008958655409,LUZIÂNIA,0.088896839594514,0.384201947922878
DF,97012,BRASÍLIA,14,1,105667,106598,BRASÍLIA,Presidente,87637,87637,0.822126118688906,BRASÍLIA,0.588196882659676,0.0440061703275384
SP,72338,VÁRZEA PAULISTA,242,1,83504,83453,VÁRZEA PAULISTA,Presidente,63654,63654,0.762752687141265,VÁRZEA PAULISTA,0.0981270358306189,0.345013412531136
PR,74250,APUCARANA,28,1,94621,94488,APUCARANA,Presidente,71806,71806,0.75994835323004,APUCARANA,0.130499571976623,0.385368998425297
MG,45950,IBIRITÉ,288,2,53927,53987,IBIRITÉ,Presidente,42490,42490,0.787041324763369,IBIRITÉ,0.0777718026220632,0.403526990190443
