SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
SP,70572,SANTO ANDRÉ,2,573104,573075,SANTO ANDRÉ,Presidente,395060,,0.689333873084117,SANTO ANDRÉ,0.139965870068958,0.33875701443368
AM,2550,MANAUS,2,1320059,1292965,MANAUS,Presidente,1045363,,0.791906270856075,MANAUS,0.130835818702043,0.260373210591345
PE,23590,CABROBÓ,1,24542,24568,CABROBÓ,Presidente,16905,,0.688819167142042,CABROBÓ,0.0207807024692364,0.652554804009453
TO,73466,OLIVEIRA DE FÁTIMA,1,1595,1594,OLIVEIRA DE FÁTIMA,Presidente,1168,,0.732288401253919,OLIVEIRA DE FÁTIMA,0.0564263322884013,0.49153605015674
BA,38555,SANTA CRUZ CABRÁLIA,1,18037,18034,SANTA CRUZ CABRÁLIA,Presidente,12753,,0.70704662637911,SANTA CRUZ CABRÁLIA,0.0592116205577424,0.515606808227532
RO,19,GUAJARÁ-MIRIM,1,28509,28475,GUAJARÁ-MIRIM,Presidente,20205,,0.708723560980743,GUAJARÁ-MIRIM,0.0747483250903224,0.469676242590059
PA,4219,BAGRE,2,13642,13630,BAGRE,Presidente,7772,,0.569711186043102,BAGRE,0.00425157601524703,0.875678053071397
SP,61875,AVANHANDAVA,2,7877,7867,AVANHANDAVA,Presidente,5112,,0.648978037323854,AVANHANDAVA,0.0595404341754475,0.542084549955567
MG,48658,MONTES CLAROS,1,269226,269587,MONTES CLAROS,Presidente,193920,,0.720287045084799,MONTES CLAROS,0.0673894794707792,0.40765750707584
RJ,58335,DUQUE DE CAXIAS,1,634781,634611,DUQUE DE CAXIAS,Presidente,447067,,0.704285414969887,DUQUE DE CAXIAS,0.0217429318142793,0.538319514919319
SP,66958,MIGUELÓPOLIS,1,13770,13768,MIGUELÓPOLIS,Presidente,9861,,0.716122004357298,MIGUELÓPOLIS,0.109513435003631,0.462454611474219
MG,42811,CARMO DE MINAS,2,9988,9980,CARMO DE MINAS,Presidente,6663,,0.66710052062475,CARMO DE MINAS,0.0532639167000401,0.586904285142171
BA,35157,FEIRA DE SANTANA,1,384050,380125,FEIRA DE SANTANA,Presidente,301991,,0.786332508787918,FEIRA DE SANTANA,0.107582346048692,0.35701080588465
PE,24910,OLINDA,1,276081,273754,OLINDA,Presidente,215715,,0.781346778662784,OLINDA,0.148304301998327,0.310238661841996
RJ,58971,SÃO GONÇALO,2,678579,678364,SÃO GONÇALO,Presidente,456652,,0.672953333362807,SÃO GONÇALO,0.0303605033459627,0.490133057462727
SP,64777,GUARULHOS,1,814342,813553,GUARULHOS,Presidente,624076,,0.766356150118746,GUARULHOS,0.149884200986809,0.282717826171314
RS,85316,BAGÉ,2,92121,91971,BAGÉ,Presidente,62949,,0.68332953398248,BAGÉ,0.064675806819292,0.494078440312198
