SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
RN,17710,PARANÁ,1,3246,3246,PARANÁ,Presidente,2606,,0.802834257547751,PARANÁ,0.044362292051756,0.642637091805299
PE,23957,CORTÊS,2,10030,10055,CORTÊS,Presidente,7543,,0.752043868394816,CORTÊS,0.047357926221336,0.626719840478564
MG,48470,MOEMA,1,6461,6457,MOEMA,Presidente,4413,,0.683021204147965,MOEMA,0.0448846927720167,0.555486766754372
SP,61018,ADAMANTINA,1,27728,27698,ADAMANTINA,Presidente,18786,,0.677510098095788,ADAMANTINA,0.117498557414887,0.397287939988459
ES,57150,PEDRO CANÁRIO,1,18232,18227,PEDRO CANÁRIO,Presidente,11571,,0.63465335673541,PEDRO CANÁRIO,0.0217749012724879,0.60865511189118
PE,25151,PEDRA,1,18616,18601,PEDRA,Presidente,11671,,0.626933820369575,PEDRA,0.0150945423291792,0.746132359260851
PB,19062,CAPIM,1,5598,5599,CAPIM,Presidente,4028,,0.719542693819221,CAPIM,0.0314397999285459,0.695426938192211
BA,36315,ITAPICURU,2,23259,23265,ITAPICURU,Presidente,15052,,0.647147340814309,ITAPICURU,0.00679306934949912,0.845049228255729
PI,11614,PIMENTEIRAS,2,8284,8278,PIMENTEIRAS,Presidente,6407,,0.773418638338967,PIMENTEIRAS,0.0624094640270401,0.653669724770642
PR,75493,FAXINAL,2,12194,12192,FAXINAL,Presidente,8879,,0.728144989339019,FAXINAL,0.043217976053797,0.576020993931442
RN,17132,JOÃO CÂMARA,1,22916,22945,JOÃO CÂMARA,Presidente,18126,,0.790975737475999,JOÃO CÂMARA,0.054372490836097,0.61446151160761
RN,16152,ANGICOS,1,9032,9041,ANGICOS,Presidente,7094,,0.785429583702392,ANGICOS,0.0800487156775908,0.513728963684677
PA,5991,SANTA MARIA DAS BARREIRAS,1,11265,11278,SANTA MARIA DAS BARREIRAS,Presidente,8613,,0.764580559254328,SANTA MARIA DAS BARREIRAS,0.0447403462050599,0.659298712827341
SP,63835,DOIS CÓRREGOS,2,19362,18368,DOIS CÓRREGOS,Presidente,12499,,0.645542815824812,DOIS CÓRREGOS,0.0838239851255036,0.502530730296457
SP,72010,TUPÃ,2,50791,50722,TUPÃ,Presidente,33199,,0.653639424307456,TUPÃ,0.11338622984387,0.40902915870922
PE,23310,BELÉM DO SÃO FRANCISCO,2,14498,14500,BELÉM DO SÃO FRANCISCO,Presidente,11287,,0.778521175334529,BELÉM DO SÃO FRANCISCO,0.0960822182369982,0.498068699130915
SP,66010,JANDIRA,2,78720,78699,JANDIRA,Presidente,53322,,0.677362804878049,JANDIRA,0.0580665650406504,0.421608231707317
SP,72354,VERA CRUZ,1,7093,7086,VERA CRUZ,Presidente,5771,,0.813619061046102,VERA CRUZ,0.157338220781052,0.358240518821373
SP,63215,CASTILHO,1,14664,14654,CASTILHO,Presidente,10008,,0.682487725040916,CASTILHO,0.0561238406983088,0.502591380250955
SC,81272,GUARAMIRIM,1,29933,29930,GUARAMIRIM,Presidente,22914,,0.765509638191962,GUARAMIRIM,0.0689539972605486,0.434336685263756
CE,13030,ACARAÚ,1,39795,39791,ACARAÚ,Presidente,30045,,0.75499434602337,ACARAÚ,0.0499811534112326,0.58884281944968
SE,31330,CRISTINÁPOLIS,1,12938,12954,CRISTINÁPOLIS,Presidente,8954,,0.69206987169578,CRISTINÁPOLIS,0.0322306384294327,0.674060905858711
SP,63371,CHAVANTES,2,8100,8096,CHAVANTES,Presidente,6289,,0.77641975308642,CHAVANTES,0.117407407407407,0.437037037037037
SP,67415,MORUNGABA,1,10163,10158,MORUNGABA,Presidente,7634,,0.751156154678737,MORUNGABA,0.0400472301485782,0.518646069074092
MA,9237,SÃO MATEUS DO MARANHÃO,1,22842,22841,SÃO MATEUS DO MARANHÃO,Presidente,17736,,0.776464407670081,SÃO MATEUS DO MARANHÃO,0.0368181420190876,0.583968128885387
MG,49379,PAPAGAIOS,2,11353,11350,PAPAGAIOS,Presidente,7962,,0.701312428433013,PAPAGAIOS,0.0178807363692416,0.656126134061482
MA,7366,BURITIRANA,1,11016,11009,BURITIRANA,Presidente,7617,,0.691448801742919,BURITIRANA,0.0107116920842411,0.732207697893973
MA,8591,PASTOS BONS,1,12994,12983,PASTOS BONS,Presidente,9397,,0.723179929198091,PASTOS BONS,0.0297829767585039,0.598583961828536
BA,37893,PILÃO ARCADO,2,25497,25491,PILÃO ARCADO,Presidente,17955,,0.704200494175785,PILÃO ARCADO,0.0109424638192729,0.837157312625015
PE,24937,OROBÓ,1,20297,20288,OROBÓ,Presidente,12143,,0.598265753559639,OROBÓ,0.0107405035226881,0.682810267527221
BA,39314,TEOLÂNDIA,1,10557,10552,TEOLÂNDIA,Presidente,7204,,0.682390830728427,TEOLÂNDIA,0.0167661267405513,0.704177323103154
RS,88382,ITAARA,1,3915,3912,ITAARA,Presidente,3169,,0.809450830140485,ITAARA,0.112899106002554,0.466411238825032
MG,49751,PEDRA DO ANTA,1,3593,3595,PEDRA DO ANTA,Presidente,2526,,0.703033676593376,PEDRA DO ANTA,0.0217088783746173,0.704981909268021
CE,14613,MASSAPÊ,1,29652,27681,MASSAPÊ,Presidente,20865,,0.703662484823958,MASSAPÊ,0.0239444219614191,0.638405503844597
MG,48690,MORADA NOVA DE MINAS,2,7424,7419,MORADA NOVA DE MINAS,Presidente,4441,,0.598195043103448,MORADA NOVA DE MINAS,0.0330010775862069,0.634428879310345
PA,5550,SENADOR JOSÉ PORFÍRIO,1,9762,9760,SENADOR JOSÉ PORFÍRIO,Presidente,7636,,0.782216758860889,SENADOR JOSÉ PORFÍRIO,0.0380045072730998,0.687973775865601
RN,16080,ITAJÁ,1,6295,6292,ITAJÁ,Presidente,4806,,0.763463065925338,ITAJÁ,0.0473391580619539,0.572041302621128
RS,86800,HULHA NEGRA,2,4608,4606,HULHA NEGRA,Presidente,3553,,0.771050347222222,HULHA NEGRA,0.048828125,0.591145833333333
PE,23710,CAMUTANGA,2,7167,7168,CAMUTANGA,Presidente,5409,,0.754709083298451,CAMUTANGA,0.0516255057904284,0.583647272219897
SP,71030,SÃO MANUEL,1,30744,30721,SÃO MANUEL,Presidente,20895,,0.679644808743169,SÃO MANUEL,0.0728272183190216,0.466139734582358
SP,72419,VISTA ALEGRE DO ALTO,1,5472,5469,VISTA ALEGRE DO ALTO,Presidente,3805,,0.695358187134503,VISTA ALEGRE DO ALTO,0.0520833333333333,0.533991228070175
MG,44512,DOM JOAQUIM,1,3955,3959,DOM JOAQUIM,Presidente,2536,,0.641213653603034,DOM JOAQUIM,0.0396965865992415,0.633375474083439
SP,69019,POMPÉIA,1,16327,16315,POMPÉIA,Presidente,11841,,0.725240399338519,POMPÉIA,0.0863600171495069,0.409260733753905
CE,14532,LIMOEIRO DO NORTE,1,42372,42345,LIMOEIRO DO NORTE,Presidente,33350,,0.787076371188521,LIMOEIRO DO NORTE,0.0797932596998018,0.486335315774568
PA,4308,PAU D'ARCO,2,7055,7053,PAU D ARCO,Presidente,4079,,0.578171509567683,PAU D'ARCO,0.0163004961020553,0.743302622253721
PA,4677,INHANGAPI,1,8198,7882,INHANGAPI,Presidente,6994,,0.853134910953891,INHANGAPI,0.035984386435716,0.554647474993901
PR,76830,MARECHAL CÂNDIDO RONDON,1,38861,38842,MARECHAL CÂNDIDO RONDON,Presidente,30017,,0.772419649520084,MARECHAL CÂNDIDO RONDON,0.06000874913152,0.46581405522246
ES,56200,PONTO BELO,1,6157,6152,PONTO BELO,Presidente,4345,,0.705700828325483,PONTO BELO,0.0630177034269937,0.538573980834822
MS,91251,PARANAÍBA,2,30760,28562,PARANAÍBA,Presidente,20157,,0.655299089726918,PARANAÍBA,0.0673927178153446,0.575227568270481
MT,98752,NOVA CANAÃ DO NORTE,2,10183,10179,NOVA CANAÃ DO NORTE,Presidente,6761,,0.663949720121772,NOVA CANAÃ DO NORTE,0.0304428950211136,0.633997839536482
BA,39357,TREMEDAL,1,16084,16078,TREMEDAL,Presidente,9277,,0.576784381994529,TREMEDAL,0.0207659786122855,0.768900770952499
PE,24058,EXU,1,25344,21717,EXU,Presidente,18059,,0.71255523989899,EXU,0.0473090277777778,0.606060606060606
ES,56030,ALEGRE,2,23130,23092,ALEGRE,Presidente,15864,,0.685862516212711,ALEGRE,0.133852140077821,0.460440985732815
ES,56731,MUNIZ FREIRE,2,14112,14113,MUNIZ FREIRE,Presidente,9674,,0.685515873015873,MUNIZ FREIRE,0.0663973922902494,0.602536848072562
SP,63690,CRUZEIRO,2,59614,59568,CRUZEIRO,Presidente,39365,,0.660331465763076,CRUZEIRO,0.0968396685342369,0.378048780487805
GO,93815,GUAPÓ,1,12582,12580,GUAPÓ,Presidente,8763,,0.696471149260849,GUAPÓ,0.058416785884597,0.461293911937689
RS,87696,NOVA PRATA,1,17265,17255,NOVA PRATA,Presidente,14857,,0.860527077903273,NOVA PRATA,0.160787720822473,0.402838111786852
MG,49212,OURO PRETO,2,60957,60958,OURO PRETO,Presidente,41390,,0.679003231786341,OURO PRETO,0.0549567728070607,0.485456961464639
CE,13382,BANABUIÚ,2,13872,13867,BANABUIÚ,Presidente,10217,,0.736519607843137,BANABUIÚ,0.0446943483275663,0.587730680507497
BA,37850,PEDRO ALEXANDRE,1,9592,9595,PEDRO ALEXANDRE,Presidente,6419,,0.669203502919099,PEDRO ALEXANDRE,0.00542118432026689,0.843411175979983
SP,65870,JABOTICABAL,1,53550,53516,JABOTICABAL,Presidente,36221,,0.676395891690009,JABOTICABAL,0.11546218487395,0.409112978524743
MG,41270,BELO VALE,2,7689,7690,BELO VALE,Presidente,5361,,0.697229808817792,BELO VALE,0.0764728833398361,0.564052542593315
BA,38199,QUINJINGUE,1,20709,20703,QUINJINGUE,Presidente,14337,,0.692307692307692,QUINJINGUE,0.00381476652663093,0.823796417016756
MA,7552,CARUTAPERA,1,17358,17351,CARUTAPERA,Presidente,12144,,0.699619771863118,CARUTAPERA,0.0213734301186773,0.683373660559972
ES,56839,PIÚMA,1,16269,16245,PIÚMA,Presidente,11382,,0.699612760464687,PIÚMA,0.0536603356075973,0.520130309176962
SP,71978,TREMEMBÉ,1,26869,26999,TREMEMBÉ,Presidente,19612,,0.729911794261044,TREMEMBÉ,0.102348431277681,0.398972793926086
CE,13188,HORIZONTE,1,52595,52577,HORIZONTE,Presidente,41061,,0.780701587603384,HORIZONTE,0.0417340051335678,0.459625439680578
CE,14257,ITAIÇABA,1,6443,6441,ITAIÇABA,Presidente,5311,,0.824305447772777,ITAIÇABA,0.0929691137668788,0.511718143721869
RJ,59218,VALENÇA,2,58319,58265,VALENÇA,Presidente,36543,,0.626605394468355,VALENÇA,0.0657933092131209,0.523225706887978
PB,19607,CASSERENGUE,2,5384,5383,CASSERENGUE,Presidente,4157,,0.772102526002972,CASSERENGUE,0.0213595839524517,0.776374442793462
PA,4995,NOVA TIMBOTEUA,2,9957,9954,NOVA TIMBOTEUA,Presidente,7612,,0.764487295370091,NOVA TIMBOTEUA,0.0441900170734157,0.609119212614241
AM,2046,CAREIRO DA VÁRZEA,2,15290,15290,CAREIRO DA VÁRZEA,Presidente,10034,,0.65624591236102,CAREIRO DA VÁRZEA,0.0362982341399608,0.582995421844343
CE,13102,QUITERIANÓPOLIS,1,16647,16636,QUITERIANÓPOLIS,Presidente,11204,,0.673034180332793,QUITERIANÓPOLIS,0.0156785006307443,0.738511443503334
RS,85251,ARROIO GRANDE,2,14338,13589,ARROIO GRANDE,Presidente,10719,,0.747593806667597,ARROIO GRANDE,0.10287348305203,0.552866508578602
PB,19550,BORBOREMA,1,4227,4224,BORBOREMA,Presidente,2943,,0.696238466997871,BORBOREMA,0.0487343269458245,0.62573929500828
MG,41866,CATUTI,1,4303,4309,CATUTI,Presidente,2924,,0.679525912154311,CATUTI,0.0146409481756914,0.675110388101325
BA,37575,NOVA ITARANA,2,5648,5647,NOVA ITARANA,Presidente,3807,,0.674043909348442,NOVA ITARANA,0.00885269121813031,0.748583569405099
RN,18872,UMARIZAL,2,8276,8272,UMARIZAL,Presidente,6179,,0.746616723054616,UMARIZAL,0.0847027549540841,0.550265828902852
SE,32239,SALGADO,1,15228,15241,SALGADO,Presidente,11098,,0.728789072760704,SALGADO,0.0288284738639349,0.64939584975046
SP,68098,PANORAMA,2,10531,10522,PANORAMA,Presidente,6856,,0.651030291520273,PANORAMA,0.0562149843319723,0.516949957269015
MG,40100,CATUJI,2,7642,7649,CATUJI,Presidente,4616,,0.604030358544884,CATUJI,0.0155718398325046,0.723632556922272
BA,36714,JUSSARA,2,12144,12138,JUSSARA,Presidente,8590,,0.707345191040843,JUSSARA,0.00815217391304348,0.726037549407115
RN,18139,RIACHO DE SANTANA,1,3410,3405,RIACHO DE SANTANA,Presidente,2538,,0.744281524926686,RIACHO DE SANTANA,0.0530791788856305,0.621114369501466
MS,91111,MIRANDA,1,19171,19168,MIRANDA,Presidente,13830,,0.721402117782067,MIRANDA,0.0371915914662772,0.660111626936519
PR,84611,SARANDI,1,60122,60106,SARANDI,Presidente,45221,,0.752153953627624,SARANDI,0.0577825088985729,0.490585808855328
PR,76015,INAJÁ,2,2271,2271,INAJÁ,Presidente,1864,,0.82078379568472,INAJÁ,0.0933509467195068,0.497137824746808
PI,11533,PARNAÍBA,1,102064,102109,PARNAÍBA,Presidente,78210,,0.766283900297852,PARNAÍBA,0.0878174478758426,0.451461827872707
GO,93572,FIRMINÓPOLIS,1,7852,7848,FIRMINÓPOLIS,Presidente,6005,,0.764773306164035,FIRMINÓPOLIS,0.0849465104431992,0.447401935812532
TO,92045,BURITI DO TOCANTINS,1,5923,5922,BURITI DO TOCANTINS,Presidente,4518,,0.762789127131521,BURITI DO TOCANTINS,0.0629748438291406,0.540773256795543
RO,531,CASTANHEIRAS,1,3065,3065,CASTANHEIRAS,Presidente,2240,,0.730831973898858,CASTANHEIRAS,0.0456769983686786,0.597389885807504
PR,84638,JURANDA,1,6187,3810,JURANDA,Presidente,4781,,0.772749313075804,JURANDA,0.0371747211895911,0.595926943591401
MG,40010,ABADIA DOS DOURADOS,2,5769,5772,ABADIA DOS DOURADOS,Presidente,3938,,0.682613971225516,ABADIA DOS DOURADOS,0.0232275957704975,0.670133472005547
GO,95990,SÃO LUÍS DE MONTES BELOS,2,22789,22787,SÃO LUÍS DE MONTES BELOS,Presidente,16931,,0.742946158234236,SÃO LUÍS DE MONTES BELOS,0.141296239413752,0.412918513317829
BA,36790,LAJEDÃO,2,4821,4816,LAJEDÃO,Presidente,2919,,0.605476042314872,LAJEDÃO,0.0236465463596764,0.678697365691765
PR,74900,VENTANIA,1,6802,6801,VENTANIA,Presidente,5362,,0.788297559541311,VENTANIA,0.0510144075271979,0.592178770949721
TO,92193,ANANÁS,1,6880,6879,ANANÁS,Presidente,5242,,0.761918604651163,ANANÁS,0.0742732558139535,0.52093023255814
CE,14699,MISSÃO VELHA,2,26745,26738,MISSÃO VELHA,Presidente,21322,,0.797233127687418,MISSÃO VELHA,0.0574312955692653,0.573789493363246
RS,89710,TAVARES,2,4435,2953,TAVARES,Presidente,3096,,0.698083427282976,TAVARES,0.0547914317925592,0.657271702367531
BA,34037,CAETITÉ,2,39487,39472,CAETITÉ,Presidente,29069,,0.736166333223593,CAETITÉ,0.0264644060070403,0.698660318585864
MS,91880,SONORA,2,11071,11071,SONORA,Presidente,7282,,0.657754493722338,SONORA,0.0395628217866498,0.600307108662271
PR,74462,IVATÉ,1,5637,5636,IVATÉ,Presidente,4282,,0.759623913429129,IVATÉ,0.033173673940039,0.553485896753592
PA,5576,SOURE,2,19980,19968,SOURE,Presidente,12819,,0.641591591591592,SOURE,0.0256756756756757,0.643193193193193
BA,35599,IBIRATAIA,2,14538,14534,IBIRATAIA,Presidente,10060,,0.691979639565277,IBIRATAIA,0.0373503920759389,0.61693492915119
SC,83496,SOMBRIO,1,21859,21844,SOMBRIO,Presidente,16280,,0.744773319913994,SOMBRIO,0.0435061073242143,0.543117251475365
AP,6130,LARANJAL DO JARI,2,28762,28728,LARANJAL DO JARI,Presidente,18747,,0.651797510604269,LARANJAL DO JARI,0.0419650928308184,0.458625964814686
PR,75388,GOIOXIM,1,4989,3632,GOIOXIM,Presidente,4069,,0.815594307476448,GOIOXIM,0.0525155341751854,0.653437562637803
ES,56871,RIO NOVO DO SUL,2,8617,8612,RIO NOVO DO SUL,Presidente,6612,,0.767320413136823,RIO NOVO DO SUL,0.0758964836950215,0.53649762098178
RS,85308,ARROIO DO SAL,2,6825,6821,ARROIO DO SAL,Presidente,4937,,0.723369963369963,ARROIO DO SAL,0.0858608058608059,0.476043956043956
MG,47376,JURUAIA,2,8078,8082,JURUAIA,Presidente,5726,,0.708838821490468,JURUAIA,0.0266154988858628,0.652141619212677
BA,38393,RIO DO PIRES,1,10059,10043,RIO DO PIRES,Presidente,5749,,0.571527984889154,RIO DO PIRES,0.00755542300427478,0.733273685256984
BA,36072,ITAGIMIRIM,1,5696,5694,ITAGIMIRIM,Presidente,4157,,0.729810393258427,ITAGIMIRIM,0.0582865168539326,0.567240168539326
PA,5118,PEIXE-BOI,2,8184,8174,PEIXE-BOI,Presidente,5741,,0.701490713587488,PEIXE-BOI,0.042644183773216,0.588831867057674
BA,37516,NAZARÉ,2,21443,21442,NAZARÉ,Presidente,15485,,0.722147087627664,NAZARÉ,0.0224781980133377,0.583034090379145
BA,34916,CRISÓPOLIS,2,16845,16837,CRISÓPOLIS,Presidente,10899,,0.647016918967053,CRISÓPOLIS,0.00831107153458,0.781062629860493
MG,49239,OURO VERDE DE MINAS,2,6467,6462,OURO VERDE DE MINAS,Presidente,3688,,0.570279882480285,OURO VERDE DE MINAS,0.0149992268439771,0.704963661666924
BA,39977,VÁRZEA DA ROÇA,2,10827,10826,VÁRZEA DA ROÇA,Presidente,7243,,0.668975708875958,VÁRZEA DA ROÇA,0.0114528493580863,0.803731412210215
MG,41815,BUENO BRANDÃO,1,8943,8939,BUENO BRANDÃO,Presidente,6085,,0.680420440568042,BUENO BRANDÃO,0.0372358269037236,0.687688695068769
SP,67318,MONTE AZUL PAULISTA,2,13375,13372,MONTE AZUL PAULISTA,Presidente,9671,,0.723065420560748,MONTE AZUL PAULISTA,0.143177570093458,0.441046728971963
SP,71897,TERRA ROXA,2,5664,5663,TERRA ROXA,Presidente,4266,,0.753177966101695,TERRA ROXA,0.114936440677966,0.433439265536723
AC,1139,FEIJÓ,1,20565,20548,FEIJÓ,Presidente,13840,,0.672988086554826,FEIJÓ,0.0305373206904936,0.687916362752249
MG,50016,PIAU,2,2779,2785,PIAU,Presidente,2009,,0.722921914357683,PIAU,0.0651313422094279,0.602374955019791
SP,63398,CLEMENTINA,2,5489,5486,CLEMENTINA,Presidente,3846,,0.700674075423574,CLEMENTINA,0.0552013117143378,0.501548551648752
PB,19097,ALAGOINHA,2,10676,10672,ALAGOINHA,Presidente,8198,,0.767890595728737,ALAGOINHA,0.0414949419258149,0.664574747096291
TO,92185,DIVINÓPOLIS DO TOCANTINS,1,5312,5309,DIVINÓPOLIS DO TOCANTINS,Presidente,3750,,0.705948795180723,DIVINÓPOLIS DO TOCANTINS,0.0604292168674699,0.524849397590361
SP,67334,MONTE CASTELO,2,3438,3436,MONTE CASTELO,Presidente,2392,,0.695753344968005,MONTE CASTELO,0.0901687027341478,0.502908667830134
MA,9679,ARAME,2,21284,21289,ARAME,Presidente,14242,,0.669141138883668,ARAME,0.0309622251456493,0.735857921443338
MG,45314,FRANCISCO DUMONT,1,4558,4558,FRANCISCO DUMONT,Presidente,2748,,0.602896007020623,FRANCISCO DUMONT,0.0239139973672663,0.635805177709522
BA,33278,ANGICAL,1,12408,12402,ANGICAL,Presidente,9075,,0.731382978723404,ANGICAL,0.0416666666666667,0.580029013539652
GO,93491,EDÉIA,1,9216,9213,EDÉIA,Presidente,6874,,0.745876736111111,EDÉIA,0.112087673611111,0.448459201388889
MS,90115,AMAMBAI,1,25222,25175,AMAMBAI,Presidente,18316,,0.726191420188724,AMAMBAI,0.0513837126318294,0.630243438268179
CE,13200,ERERÊ,2,5411,5410,ERERÊ,Presidente,3600,,0.665311402698207,ERERÊ,0.0232858990944373,0.690075771576418
SP,63738,CUNHA,2,16023,16021,CUNHA,Presidente,11549,,0.720776383948075,CUNHA,0.0961742495163203,0.562254259501966
PA,5193,PRAINHA,1,22510,22504,PRAINHA,Presidente,16633,,0.738916037316748,PRAINHA,0.0273656152820968,0.721190581963572
TO,73059,MAURILÂNDIA DO TOCANTINS,1,2637,2637,MAURILÂNDIA DO TOCANTINS,Presidente,2031,,0.770193401592719,MAURILÂNDIA DO TOCANTINS,0.0591581342434585,0.608646188850967
AL,27235,CACIMBINHAS,1,8026,8027,CACIMBINHAS,Presidente,5535,,0.689633690505856,CACIMBINHAS,0.0377523050087217,0.726887615250436
SP,71676,TAMBAÚ,2,15007,15002,TAMBAÚ,Presidente,10744,,0.715932564803092,TAMBAÚ,0.142067035383488,0.451922436196442
BA,36072,ITAGIMIRIM,2,5696,5694,ITAGIMIRIM,Presidente,3975,,0.697858146067416,ITAGIMIRIM,0.0582865168539326,0.567240168539326
PE,25151,PEDRA,2,18616,18603,PEDRA,Presidente,12354,,0.663622690159003,PEDRA,0.0150945423291792,0.746132359260851
BA,34029,CAETANOS,2,9650,9651,CAETANOS,Presidente,6547,,0.678445595854922,CAETANOS,0.00590673575129534,0.811813471502591
PA,4022,TAILÂNDIA,2,47134,47124,TAILÂNDIA,Presidente,30302,,0.642890482454279,TAILÂNDIA,0.0137904697246149,0.740696736962702
MG,40649,SANTA BÁRBARA DO LESTE,2,7044,7045,SANTA BÁRBARA DO LESTE,Presidente,4477,,0.63557637705849,SANTA BÁRBARA DO LESTE,0.019023282226008,0.725014196479273
PA,4650,IGARAPÉ-MIRI,2,46539,46521,IGARAPÉ-MIRI,Presidente,31380,,0.674273190227551,IGARAPÉ-MIRI,0.0152989965405359,0.766432454500527
CE,15393,SABOEIRO,1,13430,13423,SABOEIRO,Presidente,8553,,0.636857781087119,SABOEIRO,0.0373790022338049,0.679300074460164
MG,49670,PAULISTAS,2,4189,3144,PAULISTAS,Presidente,2384,,0.56910957269038,PAULISTAS,0.0224397230842683,0.669372165194557
BA,34533,CHORROCHÓ,2,8944,8942,CHORROCHÓ,Presidente,6139,,0.686381932021467,CHORROCHÓ,0.0290697674418605,0.665362254025045
RS,87530,MUÇUM,2,3999,3998,MUÇUM,Presidente,3190,,0.797699424856214,MUÇUM,0.0937734433608402,0.543385846461615
SP,72338,VÁRZEA PAULISTA,2,74333,74336,VÁRZEA PAULISTA,Presidente,55256,,0.74335759353181,VÁRZEA PAULISTA,0.104152933421226,0.383288714299167
MA,7382,CAMPESTRE DO MARANHÃO,2,9640,9640,CAMPESTRE DO MARANHÃO,Presidente,6500,,0.674273858921162,CAMPESTRE DO MARANHÃO,0.0130705394190871,0.667323651452282
SP,63479,CONCHAS,2,13783,13777,CONCHAS,Presidente,8723,,0.632881085395052,CONCHAS,0.0930131321192774,0.484582456649496
SP,61948,ITAPIRAPUÃ PAULISTA,1,3272,3278,ITAPIRAPUÃ PAULISTA,Presidente,2192,,0.669926650366748,ITAPIRAPUÃ PAULISTA,0.0180317848410758,0.577017114914425
PI,12335,BELÉM DO PIAUÍ,1,2668,2667,BELÉM DO PIAUÍ,Presidente,2242,,0.840329835082459,BELÉM DO PIAUÍ,0.0584707646176912,0.626311844077961
RS,88137,RESTINGA SÊCA,1,11779,11774,RESTINGA SÊCA,Presidente,9757,,0.828338568639104,RESTINGA SÊCA,0.0891416928431955,0.579760590882078
RS,86495,ESTÂNCIA VELHA,1,35212,34264,ESTÂNCIA VELHA,Presidente,27440,,0.779279790980348,ESTÂNCIA VELHA,0.0399579688742474,0.51502328751562
RN,18775,TANGARÁ,2,11313,11307,TANGARÁ,Presidente,7856,,0.694422345973659,TANGARÁ,0.0462300008839388,0.579245116237956
RN,16071,ÁGUA NOVA,1,2551,2549,ÁGUA NOVA,Presidente,2019,,0.791454331634653,ÁGUA NOVA,0.039984319874559,0.565268522148177
RS,86754,SÃO VICENTE DO SUL,2,7386,7371,SÃO VICENTE DO SUL,Presidente,4977,,0.673842404549147,SÃO VICENTE DO SUL,0.054021121039805,0.577849986460872
SP,68217,PARAPUÃ,1,8523,8516,PARAPUÃ,Presidente,5654,,0.663381438460636,PARAPUÃ,0.0715710430599554,0.526105831280066
PE,26050,TIMBAÚBA,1,41233,41236,TIMBAÚBA,Presidente,28628,,0.694298256251061,TIMBAÚBA,0.0546649528290447,0.549802342783693
MG,41831,BUENÓPOLIS,2,8540,8534,BUENÓPOLIS,Presidente,4350,,0.509367681498829,BUENÓPOLIS,0.024824355971897,0.613583138173302
BA,34878,COTEGIPE,1,11208,11201,COTEGIPE,Presidente,7775,,0.693700927908637,COTEGIPE,0.00802997858672377,0.710742326909351
PB,19747,PEDRO RÉGIS,1,4644,4647,PEDRO RÉGIS,Presidente,3120,,0.671834625322997,PEDRO RÉGIS,0.0312230835486649,0.72114556416882
MG,46698,ITAPECERICA,1,17681,17674,ITAPECERICA,Presidente,11914,,0.67383066568633,ITAPECERICA,0.0402692155421074,0.54702788303829
MG,47996,MARIANA,2,48022,46847,MARIANA,Presidente,31765,,0.661467660655533,MARIANA,0.0432718337428679,0.533797009703886
RS,88650,SÃO FRANCISCO DE ASSIS,1,14086,14075,SÃO FRANCISCO DE ASSIS,Presidente,11194,,0.794689762885134,SÃO FRANCISCO DE ASSIS,0.0852619622320034,0.563325287519523
SP,72397,VIRADOURO,2,12035,12031,VIRADOURO,Presidente,9302,,0.772912339011217,VIRADOURO,0.133610303282094,0.402326547569589
RN,17655,NOVA CRUZ,2,24218,24219,NOVA CRUZ,Presidente,18519,,0.76467916425799,NOVA CRUZ,0.0581385746139235,0.575770088364027
AL,28355,PIAÇABUÇU,2,13059,13052,PIAÇABUÇU,Presidente,8376,,0.641396737881921,PIAÇABUÇU,0.0378283176353473,0.641320162340149
MG,40215,AIMORÉS,1,19377,19365,AIMORÉS,Presidente,13363,,0.689632037983176,AIMORÉS,0.037467100170305,0.589822986014347
GO,94137,ITAPACI,1,14609,14604,ITAPACI,Presidente,10563,,0.723047436511739,ITAPACI,0.0989116298172359,0.466287904716271
BA,39942,NOVO HORIZONTE,2,8107,8113,NOVO HORIZONTE,Presidente,6444,,0.79486863204638,NOVO HORIZONTE,0.02602689034168,0.618107808067103
PE,24058,EXU,2,25344,21717,EXU,Presidente,19591,,0.773003472222222,EXU,0.0473090277777778,0.606060606060606
BA,38199,QUINJINGUE,2,20709,20703,QUINJINGUE,Presidente,14394,,0.695060118788932,QUINJINGUE,0.00381476652663093,0.823796417016756
MG,41254,BELO ORIENTE,1,19173,19168,BELO ORIENTE,Presidente,12601,,0.657226307828718,BELO ORIENTE,0.0188285609972357,0.622802899911334
MG,43230,CHIADOR,1,2689,2688,CHIADOR,Presidente,2104,,0.782447006322053,CHIADOR,0.0803272592041651,0.561918928969877
PE,25496,SANTA CRUZ DO CAPIBARIBE,2,55569,55630,SANTA CRUZ DO CAPIBARIBE,Presidente,42809,,0.770375569112275,SANTA CRUZ DO CAPIBARIBE,0.0453490255358203,0.580125609602476
MG,51632,SANTA MARIA DO SUAÇUÍ,1,12571,12545,SANTA MARIA DO SUAÇUÍ,Presidente,7042,,0.560178187892769,SANTA MARIA DO SUAÇUÍ,0.0353193858881553,0.650942645772015
